angle_rad, radius_px
4.111068511533518266e-01,4.338077881384508601e+02
4.141748127291230985e-01,4.326320120214887197e+02
4.172427743048944260e-01,4.320151335408065165e+02
4.203107358806656979e-01,4.315040653894322418e+02
4.233786974564369698e-01,4.317585998022993863e+02
4.264466590322082418e-01,4.312633264109891797e+02
4.295146206079795137e-01,4.307680530196790301e+02
4.325825821837507856e-01,4.305756687172761303e+02
4.356505437595221131e-01,4.305449012695415831e+02
4.387185053352933850e-01,4.307036145963789409e+02
4.417864669110646569e-01,4.310933688946212214e+02
4.448544284868359289e-01,4.308473166097891749e+02
4.479223900626072008e-01,4.314823045405692596e+02
4.509903516383785282e-01,4.326275031465723941e+02
4.540583132141498002e-01,4.338774219012052527e+02
4.571262747899210721e-01,4.360353820647346197e+02
4.601942363656923440e-01,4.385362172772867098e+02
4.632621979414636160e-01,4.418466275642961705e+02
4.663301595172348879e-01,4.459379842312677624e+02
4.693981210930062153e-01,4.500859486504999722e+02
4.724660826687774873e-01,4.524737809675098106e+02
4.755340442445487592e-01,4.575676826190867814e+02
4.786020058203200311e-01,4.626615842706637522e+02
4.816699673960913031e-01,4.670537961798020206e+02
4.847379289718626305e-01,4.699322787153317336e+02
4.878058905476339024e-01,4.742256187776253000e+02
4.908738521234051744e-01,4.769775477892332560e+02
4.939418136991764463e-01,4.793839848035876798e+02
4.970097752749477182e-01,4.833990065706141763e+02
5.000777368507189902e-01,4.864860300471423216e+02
5.031456984264902621e-01,4.884483831580259334e+02
5.062136600022615340e-01,4.892800162392309176e+02
5.092816215780329170e-01,4.901116493204359585e+02
5.123495831538041889e-01,4.898070129601479152e+02
5.154175447295754608e-01,4.901154725602748954e+02
5.184855063053467328e-01,4.903613153734142429e+02
5.215534678811180047e-01,4.900700966226513060e+02
5.246214294568892766e-01,4.903568607359594012e+02
5.276893910326605486e-01,4.899601707661767591e+02
5.307573526084318205e-01,4.895634807963941739e+02
5.338253141842030924e-01,4.899038016312682657e+02
5.368932757599743644e-01,4.898321363757052040e+02
5.399612373357456363e-01,4.898706806151324713e+02
5.430291989115170193e-01,4.902255984104897379e+02
5.460971604872882912e-01,4.898575062844860781e+02
5.491651220630595631e-01,4.899565438756831668e+02
5.522330836388308350e-01,4.891330585279035290e+02
5.553010452146021070e-01,4.870466122636648834e+02
5.583690067903733789e-01,4.834274960459429735e+02
5.614369683661446508e-01,4.815803162407901254e+02
5.645049299419159228e-01,4.774620057189458748e+02
5.675728915176871947e-01,4.752570932413429432e+02
5.706408530934584666e-01,4.705215390573945342e+02
5.737088146692298496e-01,4.671409571451394527e+02
5.767767762450011215e-01,4.636658649294859060e+02
5.798447378207723935e-01,4.566283664195706820e+02
5.829126993965436654e-01,4.521621641017935644e+02
5.859806609723149373e-01,4.484280053846297278e+02
5.890486225480862092e-01,4.444499401993797392e+02
5.921165841238574812e-01,4.373795520712491793e+02
5.951845456996287531e-01,4.364367488205767245e+02
5.982525072754000250e-01,4.335239807671787844e+02
6.013204688511712970e-01,4.330077265578350989e+02
6.043884304269425689e-01,4.320440037078463433e+02
6.074563920027139519e-01,4.311745507695813444e+02
6.105243535784852238e-01,4.308512331677749216e+02
6.135923151542564957e-01,4.306181561690358990e+02
6.166602767300277677e-01,4.296736611596708713e+02
6.197282383057990396e-01,4.298502097592646578e+02
6.227961998815703115e-01,4.299512138701026061e+02
6.258641614573415834e-01,4.297362328376816549e+02
6.289321230331128554e-01,4.302364711427197790e+02
6.320000846088841273e-01,4.300346662428739251e+02
6.350680461846553992e-01,4.309326358863864357e+02
6.381360077604267822e-01,4.310652377232964909e+02
6.412039693361980541e-01,4.316507490399706057e+02
6.442719309119693261e-01,4.338930796842562927e+02
6.473398924877405980e-01,4.361507573093356882e+02
6.504078540635118699e-01,4.396799241536152181e+02
6.534758156392831419e-01,4.444891746712175973e+02
6.565437772150544138e-01,4.493253088938474207e+02
6.596117387908256857e-01,4.529232897663641779e+02
6.626797003665969577e-01,4.578110019319627213e+02
6.657476619423682296e-01,4.609260668393965830e+02
6.688156235181395015e-01,4.651208325236904102e+02
6.718835850939108845e-01,4.675310639714918466e+02
6.749515466696821564e-01,4.725196701613231198e+02
6.780195082454534283e-01,4.737739503018117944e+02
6.810874698212247003e-01,4.774348892963255935e+02
6.841554313969959722e-01,4.812077017750569894e+02
6.872233929727672441e-01,4.837119957166797803e+02
6.902913545485385161e-01,4.862311599870536156e+02
6.933593161243097880e-01,4.887733713492751235e+02
6.964272777000810599e-01,4.900235243270237788e+02
6.994952392758523319e-01,4.904333766809572239e+02
7.025632008516236038e-01,4.910155171927025890e+02
7.056311624273949867e-01,4.912144976395914568e+02
7.086991240031662587e-01,4.907748828796641760e+02
7.117670855789375306e-01,4.911638358627326397e+02
7.148350471547088025e-01,4.912613956525262893e+02
7.179030087304800745e-01,4.918680872693096831e+02
7.209709703062513464e-01,4.917706811623492058e+02
7.240389318820226183e-01,4.916732750553886717e+02
7.271068934577938903e-01,4.922895248767187013e+02
7.301748550335651622e-01,4.922052060793467945e+02
7.332428166093364341e-01,4.917299167398579698e+02
7.363107781851077061e-01,4.913379024177395422e+02
7.393787397608790890e-01,4.905585686545876456e+02
7.424467013366503609e-01,4.893394779173854658e+02
7.455146629124216329e-01,4.868753432734495163e+02
7.485826244881929048e-01,4.841360082661793172e+02
7.516505860639641767e-01,4.792080974142689342e+02
7.547185476397354487e-01,4.771556559606066799e+02
7.577865092155067206e-01,4.724939408197380999e+02
7.608544707912779925e-01,4.684447866435003789e+02
7.639224323670492645e-01,4.635258284531557251e+02
7.669903939428205364e-01,4.587771858939027538e+02
7.700583555185919193e-01,4.541912183818965332e+02
7.731263170943631913e-01,4.498738256175870447e+02
7.761942786701344632e-01,4.461697309537041747e+02
7.792622402459057351e-01,4.413361313581069680e+02
7.823302018216770071e-01,4.386270019541000806e+02
7.853981633974482790e-01,4.372799185744230499e+02
7.884661249732195509e-01,4.329898793679120672e+02
7.915340865489908229e-01,4.316748915156929343e+02
7.946020481247620948e-01,4.313692394452494909e+02
7.976700097005333667e-01,4.313826742717833440e+02
8.007379712763046387e-01,4.306937930187825145e+02
8.038059328520760216e-01,4.307311041004451226e+02
8.068738944278472935e-01,4.307684151821077307e+02
8.099418560036185655e-01,4.308057262637703957e+02
8.130098175793898374e-01,4.308430373454330038e+02
